2.758, {'ABCD': 0, 'BC': 297, 'DE': 569, 'AB': 108, 'FG': 8, 'EH': 19, 'A': 55960, 'C': 58387, 'B': 12680, 'E': 54926, 'D': 37428, 'G': 57248, 'F': 12676, 'H': 37392, 'EF': 8, 'CF': 154, 'CD': 640, 'EFGH': 0, 'AD': 563, 'GH': 21, 'CDEF': 0, 'ABCDEFGH': 0}
2.828, {'ABCD': 0, 'BC': 236, 'DE': 540, 'AB': 117, 'FG': 9, 'EH': 17, 'A': 55498, 'C': 58552, 'B': 12071, 'E': 54443, 'D': 37183, 'G': 57563, 'F': 12069, 'H': 37149, 'EF': 4, 'CF': 113, 'CD': 550, 'EFGH': 0, 'AD': 539, 'GH': 15, 'CDEF': 0, 'ABCDEFGH': 0}
2.899, {'ABCD': 0, 'BC': 249, 'DE': 545, 'AB': 143, 'FG': 7, 'EH': 15, 'A': 54655, 'C': 59210, 'B': 11549, 'E': 53666, 'D': 37805, 'G': 58132, 'F': 11544, 'H': 37763, 'EF': 7, 'CF': 145, 'CD': 620, 'EFGH': 0, 'AD': 543, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
2.970, {'ABCD': 0, 'BC': 196, 'DE': 516, 'AB': 144, 'FG': 6, 'EH': 26, 'A': 54329, 'C': 59783, 'B': 11311, 'E': 53349, 'D': 37315, 'G': 58701, 'F': 11311, 'H': 37284, 'EF': 5, 'CF': 101, 'CD': 671, 'EFGH': 0, 'AD': 505, 'GH': 25, 'CDEF': 0, 'ABCDEFGH': 0}
3.040, {'ABCD': 0, 'BC': 183, 'DE': 509, 'AB': 143, 'FG': 5, 'EH': 17, 'A': 53933, 'C': 59860, 'B': 11656, 'E': 52906, 'D': 37525, 'G': 58882, 'F': 11654, 'H': 37487, 'EF': 6, 'CF': 97, 'CD': 625, 'EFGH': 0, 'AD': 499, 'GH': 20, 'CDEF': 0, 'ABCDEFGH': 0}
3.111, {'ABCD': 0, 'BC': 171, 'DE': 579, 'AB': 207, 'FG': 3, 'EH': 17, 'A': 53489, 'C': 60706, 'B': 11910, 'E': 52470, 'D': 37503, 'G': 59650, 'F': 11907, 'H': 37450, 'EF': 5, 'CF': 81, 'CD': 677, 'EFGH': 0, 'AD': 571, 'GH': 17, 'CDEF': 0, 'ABCDEFGH': 0}
3.182, {'ABCD': 0, 'BC': 163, 'DE': 501, 'AB': 173, 'FG': 11, 'EH': 19, 'A': 52990, 'C': 61280, 'B': 12791, 'E': 52039, 'D': 37252, 'G': 60211, 'F': 12788, 'H': 37198, 'EF': 2, 'CF': 82, 'CD': 703, 'EFGH': 0, 'AD': 498, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
3.253, {'ABCD': 0, 'BC': 174, 'DE': 438, 'AB': 236, 'FG': 14, 'EH': 10, 'A': 52351, 'C': 62066, 'B': 13570, 'E': 51451, 'D': 37628, 'G': 60955, 'F': 13566, 'H': 37583, 'EF': 6, 'CF': 93, 'CD': 731, 'EFGH': 0, 'AD': 437, 'GH': 19, 'CDEF': 0, 'ABCDEFGH': 0}
3.323, {'ABCD': 0, 'BC': 121, 'DE': 428, 'AB': 242, 'FG': 8, 'EH': 14, 'A': 51980, 'C': 62512, 'B': 15035, 'E': 51082, 'D': 37429, 'G': 61416, 'F': 15033, 'H': 37392, 'EF': 6, 'CF': 70, 'CD': 719, 'EFGH': 0, 'AD': 418, 'GH': 18, 'CDEF': 0, 'ABCDEFGH': 0}
3.394, {'ABCD': 0, 'BC': 165, 'DE': 467, 'AB': 272, 'FG': 10, 'EH': 12, 'A': 51519, 'C': 62881, 'B': 16572, 'E': 50550, 'D': 37798, 'G': 61698, 'F': 16568, 'H': 37762, 'EF': 14, 'CF': 87, 'CD': 738, 'EFGH': 0, 'AD': 463, 'GH': 32, 'CDEF': 0, 'ABCDEFGH': 0}
